employee_title,location,employee_status,review_title,pros,cons,rating_overall
 Bio Statistician,"Columbus, OH",8 Jun 2021 ,bonus,"their bonus pretty high for me
","they didn't pay me bonus
Be the first to find this review helpful
Helpful
Share
Repor",1.0
 Engineer Director,"Cupertino, CA",11 May 2021 ,good one,"nice people, Top 5 internet company
","long hour, communication with China team
1 person found this review helpful
Helpful
Share
Report
Tencent Response
thanks for your feedback",4.0
 Office Manager,"Shenzhen, Guangdong",30 Apr 2021 ,Best company I've met,"competitive compensations in China, and everyone knows the company. not much OT.
","always has a long process and really stressful sometimes
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Chief Operation Officer (Chief Operating Officer),"Beijing, Beijing",28 Apr 2021 ,The Company is a startup Company focused on trusted computing.,"The company has great potentials in the growing market
","Currently thew company is a startup company
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Data Engineer,,29 Apr 2021 ,Tencent Data Engineer review,"WLB, Great compensation, Great Working environment
","There are quite a few on calls
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Marketing,"Shenzhen, Guangdong",11 May 2021 ,ABCmouse product manager assistant intern,"Good work environment, well organized management structure and community atmosphere
","Too many workers in that location, crowded transportation and inconvenient living situation
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,"Shenzhen, Guangdong",12 May 2021 ,A great company,"innovation relax Strong cooperation ability
","too much work,too much overtime
Advice to Management
Give me more money
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Researcher,"Shenzhen, Guangdong",26 Apr 2021 ,Cool company,"Flexible working time, you don't have a fixed schedule
","Lots of tasks, sometimes you have to work a lot
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Cloud Solution Architect,,9 May 2021 ,Learn China culture and IT,"Can deep dive into China culture and IT. Requires Chinese language skill to understand solutions
","This company is focused on working and growth.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Programmer,,6 May 2021 ,Work,"A lot of Money . Pro mobile game dev
","A lot of work too long work time
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Software Engineer ,"Shenzhen, Guangdong",5 May 2021 ,Resigned,"Good benefits and competitive salary.
","Have to work overtime - from 10a.m. to 10 p.m. for six days per week.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Project Manager,"Palo Alto, CA",28 Apr 2021 ,Will not recommend unless desperate for visa sponsorship,"stable paychecks and benefit, Tencent will not go anywhere in years
","- Poor WLB, a lot of political games, culture shocks. 
- (not applicable to locals but for visa seekers) Will be paid heavily under market especially for non-engineer positions;
- all the issues of a Chinese company's oversea office you can image of.
5 people found this review helpful
Helpful
Share
Repor",2.0
 Game Designer,"Shenzhen, Guangdong",5 May 2021 ,"Overall good, but...","1. Good salary and working environment. 
2. Good employer reputation in China.
3. Has a great trainee program for junior game designers.
","1. Bad WLB. Need to work overtime almost every day.

2. Forced ranking system to punish (bonus cuts or even dismission) employees who ranked low. No matter employees' actual performance, about 10-20% of them need to be marked as ""need to improve"" or ""unsatisfied"" forcibly based on the system. If everyone in your team works hard, that will be a tragedy.

3. Limited experience in game design know-how and methodology. It is ok in the past, but crucial and lethal when Tencent wants to produce AAA titles to expand the global market.

4. Impatient managers. They expect developers to effectively produce and iterate content with superior quality (ideally to finish a AAA quality game in a year) but leave limited time. If the test data of your game is non-ideal, they will cut your project unhesitatingly.

5. Unfriendly for international employees.
Be the first to find this review helpful
Helpful
Share
Repor",3.0
Anonymous,"Beijing, Beijing",18 Apr 2021 ,Best employer in China,"Great facility and benefits. We have a gym, basketball courts, ping pong and pool tables and a message center at the Beijing HQ.
steep learning curve in the first few years
caring leaders and colleagues
people put high value to integrity h
","frequent organizational changes
slow decision making process
OT
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Regional Operations Manager,"Shenzhen, Guangdong",3 May 2021 ,Working with young generation with passion,"A lot of opportunities and incentives to make me grow.
","Re-org and shift for business
Advice to Management
Need more time to grow into a leader
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Marketing Assistant,Ningbo,29 Apr 2021 ,good,"nice job and nice colleuges
","stressful and a lot of overtime-job
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Business Analyst,"New York, NY",13 Apr 2021 ,tencent,"talented people and good culture
","bureaucracy, and the assignment often changes
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,13 Apr 2021 ,Good employer to work for,"Easy to transfer internally or find new jobs in the industry
Decent pay
","Workaholic culture and too much OT
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Development Engineer (SDE),"Shanghai, Shanghai",26 Apr 2021 ,head line,"platform is large to help career
","no wlb and no enough cares from company
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,"Beijing, Beijing",11 Apr 2021 ,"Good company, weak middle management","The company is good and has built a comfortable culture.
","The middle management layer changes frequently and someone may be aggressive and not experienced.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Researcher,"Shenzhen, Guangdong",26 Apr 2021 ,n/a,"top in china, good enviroment, well salary in china
","too much work time, high work pressure
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Technical Recruiter,"Shenzhen, Guangdong",10 Apr 2021 ,Good career growth & global exposure,"If you wanted to do more there will be more reward & opportunities in return. Great employer for junior member who wants to have global exposure.
","Work life balance is still a big concern
Advice to Management
Recommend to understand the workload of each individuals.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Corporate Culture,"Shenzhen, Guangdong",11 Apr 2021 ,Good company,"Striving to achieve for the best, caring
","OT culture is a bit too much
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Tencent Cloud Product Experience,"Shenzhen, Guangdong",24 Apr 2021 ,Offer report,"good name and good money I think
","Innovation is behind Alibaba and Huawei
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Senior Software Developer,"Shenzhen, Guangdong",9 Apr 2021 ,Good enough among tech companies,"One of the largest companies around the world, good for graduates
","We work a lot of overtime, not 996 but 995 at least
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,,23 Apr 2021 ,"High Income, Heavy Workload","Good benefits, fancy atmosphere, high income
","Too busy. Overwhelmed by work. 7*24 on call
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Data Analyst,"Shenzhen, Guangdong",7 Apr 2021 ,Data Science Team,"The work life balance is better
","Our team seems not very good
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Developer,"Shenzhen, Guangdong",21 Apr 2021 ,Work environment,"work with a group of talented people
","sometimes need to work extra hours
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,"Guangzhou, Guangdong",20 Apr 2021 ,Software Engineer,"Software Engineer is very funny
","work is too hard to sleep
Advice to Management
Software Engineer
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,,1 Apr 2021 ,No,"No, No, No, No, No
","Salary is low, Salary is low, Salary is low
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,"San Francisco, CA",1 Apr 2021 ,Very good company,"Work Life Balance is not so great.
","Growth opportunity is very big!
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Marketing Manager,"New York, NY",31 Mar 2021 ,Short title review,"It is a great company in China.
","It requires much time to work.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Game Analyst,,13 Apr 2021 ,Not recommended,"High Salary, good housing and living benefits
","Too much work, cold colleagues, bad company culture
Be the first to find this review helpful
Helpful
Share
Repor",2.0
 Software Engineer,,13 Apr 2021 ,no,"big company, high tech and salary
","too tired, has no time to study
Be the first to find this review helpful
Helpful
Share
Repor",3.0
Anonymous,,28 Mar 2021 ,Very good,"Excenllent environment, good salary and promotion opportunity
","long office hour; too many departments
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Game Operations,"Shanghai, Shanghai",8 Apr 2021 ,"KPI Driven, Promotion Driven","Plenty of growth opportunity if you work hard.
","Heavy focus on delivering hard numbers and not failing or being creative that much - which causes toxic competition and double-work on a lot of teams, and everyone chasing the next promotion period to prove themselves on delivering solid numbers.
Advice to Management
Focus on people learning from trying new things, do not punish those that learn, and reward creative thinking. Hire different nationalities to have more diverse teams.
1 person found this review helpful
Helpful
Share
Repor",4.0
 Senior Concept Artist,"Shanghai, Shanghai",26 Mar 2021 ,working environment,"Close to perfect facilities，Welfare is good
","Need to work overtime，Still work overtime
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Product Manager,"Shenzhen, Guangdong",25 Mar 2021 ,good company with great culture,"good for new graduates to grow up, profound resources to learn
","too many departments in a big company, hard to cooperate. also 996
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Game Producer,"Chengdu, Sichuan",23 Mar 2021 ,Good,"The best game company in the world
","There is too much overtime
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,"Shenzhen, Guangdong",23 Mar 2021 ,hahaha,"Professionalism, responsibility, team meaning, Do things in a planned way
","Insufficient innovation, not proactive enough
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,22 Mar 2021 ,Tencent is generally a good choice,"elastic working hours;
decent pay;
really nice benefits, free bus, free meal, healthcare, etc.
","The working hour is too long in some departments
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Game Developer,"Shenzhen, Guangdong",3 Apr 2021 ,Game Backend Developer,"Good career opportunities and high salary
","heavy workload, 996, based in Shenzhen
Be the first to find this review helpful
Helpful
Share
Repor",4.0
